feature,gain,split
SUMD30,0.05214529950171709,3
RANK30,0.049673501402139664,2
CNTD30,0.04708361066877842,5
RSV10,0.0437992294318974,6
IMAX10,0.03800816088914871,3
SUMD5,0.03631490096449852,1
VSUMD30,0.032201210502535105,5
IMXD5,0.0302639901638031,3
VSUMD5,0.029539969749748707,3
RANK5,0.026915390277281404,3
VSUMD20,0.025539959780871868,4
CNTP5,0.025085000321269035,3
KSFT2,0.024794799741357565,3
IMIN5,0.021696560084819794,3
high_low_spread,0.020936259999871254,2
RANK20,0.01719333976507187,2
IMAX20,0.0169550902210176,3
CNTN5,0.01281115971505642,2
VSUMD10,0.005946720018982887,1
CNTD5,0.0058194901794195175,1
CNTN10,0.005403620190918446,1
RANK10,0.0,0
