feature,gain,split
MIN5,0.12821498000994325,26
boll_std,0.12596629530889913,25
volume_ma_5,0.12556768883951008,18
rsi,0.12222880986519158,13
RESI5,0.12061064026784152,28
VSTD20,0.11941489926539361,22
RESI60,0.11716724978759885,21
kdj_k,0.11334300949238241,20
KSFT2,0.10727684095036238,11
SUMP60,0.1021880698390305,13
sma_20,0.10169877018779516,13
VSUMN60,0.09772618999704719,18
sma_5,0.09696490981150419,13
QTLD30,0.09584045072551817,14
VMA20,0.09423913981299847,18
QTLU60,0.0925766914151609,18
MIN20,0.09203744889236987,14
LOW0,0.0886872906703502,17
QTLU30,0.0864549707621336,16
RESI20,0.08604586019646376,11
VSUMN5,0.08572567848023027,15
MA5,0.08537725964561105,15
SUMP30,0.08459929039236158,20
CNTN10,0.08428712049499154,9
IMXD10,0.08350624982267618,13
SUMP10,0.08282373915426433,12
IMXD20,0.08260199939832091,13
CNTN60,0.08226433082018048,10
CNTN30,0.08177746972069144,11
MAX30,0.08076742885168642,15
QTLU5,0.07690535043366253,17
kdj_j,0.07607222109800205,13
IMAX20,0.07583134865853935,14
MA10,0.0753378007793799,12
volume_change,0.074053670396097,19
ROC5,0.07068526081275195,16
ROC60,0.0695900599239394,15
RSV10,0.06917328981216997,13
QTLU10,0.06809302989859134,15
VMA30,0.06726950989104807,15
MAX20,0.06275406311033294,11
VSTD30,0.06174357992131263,15
boll_mid,0.061350668082013726,12
IMAX10,0.05920447921380401,13
ema_26,0.05889258999377489,8
VSUMD60,0.0580872199498117,10
CNTD60,0.05804946040734649,16
QTLD5,0.05746082996483892,7
KMID,0.05571862019132823,16
MA30,0.055378259625285864,11
KMID2,0.054636189714074135,20
macd,0.053662070306017995,13
ema_60,0.052463880041614175,8
VSUMN10,0.05205994891002774,11
high_close_spread,0.05087157036177814,12
IMIN10,0.04953696904703975,8
VSUMD30,0.049236530787311494,6
RSV30,0.049131389358080924,8
RANK60,0.048030199483036995,9
SUMN60,0.047496749786660075,12
RANK20,0.04669831902720034,6
ROC10,0.04644309007562697,12
ROC20,0.04533661308232695,9
CNTP30,0.0449452199973166,9
VSTD5,0.044582050293684006,12
IMXD5,0.0439302297309041,5
MA20,0.04314964055083692,12
VSUMD20,0.041855160146951675,13
return_5,0.04020555014722049,7
SUMN5,0.037885789293795824,7
CNTP60,0.037307740189135075,7
SUMP20,0.03674465953372419,6
open_close_spread,0.03560190065763891,7
RSV60,0.03444953984580934,13
QTLU20,0.034414170077070594,11
CNTP10,0.030953899724408984,2
VSUMD5,0.028362049721181393,5
OPEN0,0.02660336997359991,6
CNTN20,0.02502043975982815,4
RSV5,0.024667379795573652,6
SUMD10,0.023875970393419266,2
RSV20,0.023844619747251272,7
ema_12,0.021176009671762586,3
IMIN5,0.01983918994665146,6
SUMN20,0.019622530322521925,4
CNTN5,0.01716318994294852,3
SUMN10,0.016352469567209482,2
SUMD60,0.013518020510673523,2
CNTD20,0.011362179880961776,2
CNTD10,0.009326810017228127,2
RANK5,0.008919279905967414,3
VSUMD10,0.008378189988434315,2
RANK10,0.006760419812053442,1
SUMD30,0.0067472802475094795,2
CNTD5,0.005508389906026423,3
SUMN30,0.0049330200999975204,2
SUMD20,0.004884790163487196,1
return_10,0.004539470188319683,1
CNTP5,0.0025235320208594203,2
CNTP20,0.0014562599826604128,1
RANK30,0.001112579950131476,1
IMAX5,0.0,0
SUMD5,0.0,0
