feature,gain,split
SUMN10,1.4765013083815575,9
macd_signal,1.4558946937322617,12
high_close_spread,1.3713768869638443,9
high_low_spread,1.2771687023341656,10
atr_14,1.2033368945121765,10
IMXD10,1.167314998805523,7
VSUMN10,1.1316929757595062,7
IMAX30,1.042165219783783,9
RSV60,1.0267581827938557,8
MA10,0.9959476888179779,8
VSUMD60,0.9879792891442776,8
sma_20,0.9869791120290756,8
ema_12,0.9800979942083359,7
CNTN5,0.9224333837628365,2
CNTN10,0.8969743251800537,6
CNTD5,0.873924970626831,1
CNTP10,0.8385649025440216,5
macd,0.8177831992506981,8
ema_60,0.8127153068780899,7
ema_26,0.7466155961155891,5
RANK30,0.7416099905967712,4
CNTN20,0.6642904970794916,6
RANK10,0.6168059855699539,2
SUMD10,0.6158662885427475,3
CNTP20,0.5973273888230324,5
VSUMD5,0.4694803114980459,4
low_close_spread,0.4156540185213089,2
SUMD5,0.40181469917297363,4
IMXD5,0.3782990127801895,2
SUMD20,0.2766530066728592,2
CNTD20,0.2563230097293854,1
boll_mid,0.22180530428886414,3
IMAX5,0.14655199646949768,1
CNTD10,0.1055832989513874,2
sma_5,0.10446819756180048,2
RANK20,0.05767729878425598,1
CNTP5,0.0,0
RANK5,0.0,0
