date,open,high,low,close,preclose,volume,amount,pctChg,return_1d,ma5,ma20,volatility_20d
2019-04-24,4033.629,4044.337,3967.805,4030.088,4019.005,14549869568,186497961984.0,0.2758,0.002757647726240764,4053.4770000000003,3999.71785,0.014845526362964595
2019-04-25,4013.602,4022.563,3938.325,3941.816,4030.088,15972207104,197530996736.0,-2.1903,-0.02190324380013553,4027.4252,4009.6393,0.0158443645431995
2019-04-26,3921.89,3943.833,3887.252,3889.274,3941.816,14200806912,186572136448.0,-1.3329,-0.013329389296709904,3981.1586,4017.6832499999996,0.01618568696750305
2019-04-29,3896.582,3953.228,3875.452,3900.333,3889.274,15387092736,203946553344.0,0.2843,0.002843461273235093,3956.1032,4019.08285,0.013748096946234611
2019-04-30,3887.179,3923.108,3885.147,3913.211,3900.333,11623337728,161665925120.0,0.3302,0.003301769361744089,3934.9444000000003,4016.047,0.012371894365789006
2019-05-06,3775.076,3791.611,3647.14,3684.616,3913.211,19747288320,254115401728.0,-5.8416,-0.05841622135887892,3865.85,4001.7135500000004,0.017878230690580338
2019-05-07,3702.265,3738.176,3671.834,3720.668,3684.616,13284765440,183659159552.0,0.9784,0.009784466006769854,3821.6204,3986.6391500000004,0.017744523926910158
2019-05-08,3648.548,3722.932,3642.498,3667.457,3720.668,11286735616,145058488320.0,-1.4301,-0.014301464145685783,3777.257,3966.9005000000006,0.01758742912932968
2019-05-09,3637.346,3656.896,3584.822,3599.7,3667.457,10103739392,141829095424.0,-1.8475,-0.01847519957289212,3717.1303999999996,3944.0241,0.017816776194393792
2019-05-10,3643.055,3732.923,3589.29,3730.451,3599.7,14800384768,195067170816.0,3.6323,0.036322749117982056,3680.5784,3926.77515,0.020065486525531383
2019-05-13,3675.759,3702.901,3658.0,3668.725,3730.451,10339185920,135053926400.0,-1.6546,-0.01654652480356933,3677.4002,3905.9190500000004,0.020180327347524757
2019-05-14,3630.438,3683.261,3630.438,3645.15,3668.725,10231345920,135262867456.0,-0.6426,-0.006425938166529144,3662.2966,3888.2977,0.019811990340008367
2019-05-15,3674.993,3741.04,3674.993,3727.092,3645.15,11016176896,152534548480.0,2.248,0.02247973334430675,3674.2236000000003,3875.2215000000006,0.02070576971316705
2019-05-16,3720.039,3745.14,3707.903,3743.963,3727.092,11625827328,139851939840.0,0.4527,0.004526585337845113,3703.0762000000004,3863.6434500000005,0.020777227470970334
2019-05-17,3744.875,3745.355,3637.582,3648.76,3743.963,12845324544,154092351488.0,-2.5428,-0.025428403005051003,3686.7380000000003,3841.792,0.02005470234328313
2019-05-20,3635.735,3644.5,3583.832,3617.792,3648.76,10896347648,134194262016.0,-0.8487,-0.008487266907113766,3676.5514000000003,3818.31965,0.020017493897112947
2019-05-21,3619.436,3690.088,3610.681,3666.776,3617.792,11102291968,133071380480.0,1.354,0.013539750212284263,3680.8766000000005,3798.0546999999997,0.020482545595004276
2019-05-22,3663.153,3679.272,3634.747,3649.379,3666.776,9834612736,121775243264.0,-0.4744,-0.004744494891425033,3665.334,3774.4932999999996,0.020092188377985844
2019-05-23,3629.528,3631.474,3578.112,3583.964,3649.379,9989778176,125611970560.0,-1.7925,-0.01792496750817052,3633.3342000000002,3752.411,0.019892914672702718
